country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Spain,2076,3856.279533,50949.93784,805852.6278,SSP1-2.6,100009.28,277490.28,117169.28,185404.28,97551.28,MPI-ESM1-2-LR
Sweden,2076,52.84800291,504.1948316,5953.565254,SSP1-2.6,663.848,1059.848,2689.848,2266.848,2402.848,MPI-ESM1-2-LR
Germany,2077,28.91571272,376.3594505,5811.981987,SSP1-2.6,495.916,117.916,2927.916,3127.916,4635.916,MPI-ESM1-2-LR
Spain,2077,4240.393266,52097.22029,793345.0174,SSP1-2.6,597110.393,384701.393,125150.393,259368.393,679614.393,MPI-ESM1-2-LR
Sweden,2077,71.98767515,637.7422379,9142.413205,SSP1-2.6,7090.988,265.988,8968.988,976.988,4921.988,MPI-ESM1-2-LR
Germany,2078,38.29544502,462.7680187,7335.457507,SSP1-2.6,4053.295,5445.295,4560.295,3257.295,4610.295,MPI-ESM1-2-LR
Spain,2078,3980.555083,46588.89816,735424.6508,SSP1-2.6,330691.555,612993.555,99296.555,475219.555,677737.555,MPI-ESM1-2-LR
Sweden,2078,73.32604075,723.1868879,8873.115377,SSP1-2.6,3175.326,6538.326,6409.326,3146.326,336.326,MPI-ESM1-2-LR
Germany,2079,34.90254666,480.0705253,7409.501386,SSP1-2.6,5857.903,715.903,4575.903,5677.903,2889.903,MPI-ESM1-2-LR
Spain,2079,3620.340908,42974.52503,665055.6561,SSP1-2.6,258004.341,55960.341,608150.341,160666.341,275680.341,MPI-ESM1-2-LR
Sweden,2079,72.58367386,707.9532504,9253.114458,SSP1-2.6,2299.584,3501.584,7031.584,7635.584,1143.584,MPI-ESM1-2-LR
Germany,2080,34.85808657,443.7510686,7489.277453,SSP1-2.6,555.858,2695.858,6687.858,5022.858,5317.858,MPI-ESM1-2-LR
Spain,2080,3365.832534,36296.1176,535634.9285,SSP1-2.6,512984.833,123574.833,58920.833,474899.833,257946.833,MPI-ESM1-2-LR
Sweden,2080,69.33114004,624.4790119,8329.219209,SSP1-2.6,6668.331,5365.331,7619.331,7807.331,3872.331,MPI-ESM1-2-LR
